player,loc,unit_id,unit_type,action,unit_name,passing_through
chris,A2,6,tyranid_warriors,move,Camila Ellis,FALSE
chris,A2,13,ripper_swarms,move,Gottfried Leibniz,FALSE
chris,A3,5,neurothrope,move,Respected Ninja,FALSE
chris,A3,7,tyranid_warriors,move,Reagan Schwartz,FALSE
chris,A3,8,tyranid_warriors,move,Abel Garcia,FALSE
chris,A3,12,hormagaunts,move,Bryson Kelley,FALSE
chris,A3,23,biovores,move,Ariel Hicks,FALSE
chris,A4,1,flying_hive_tryant,move,Spencer Tracy,FALSE
chris,A5,11,termagants,control,Ivy Lucas,FALSE
chris,A5,16,hive_guard,control,Jonathan Cohen,FALSE
chris,A5,25,tyrannocyte,control,X-cessive Man,FALSE
chris,A6,10,genestealers,move,Ricky Reed,FALSE
chris,A6,14,ripper_swarms,move,Ned Mohan,FALSE
chris,A6,24,biovores,move,Richard Malone,FALSE
chris,A7,3,broodlord,move,Phil Collins & Hugh Padgham,FALSE
chris,A7,9,genestealers,move,Stevie Wonder,FALSE
chris,A7,17,maleceptor,move,Taylor Becker,FALSE
chris,A7,18,venomthropes,move,Avery King,FALSE
chris,A7,22,exocrine,move,Maxwell Mason,FALSE
chris,A8,2,flying_hive_tryant,move,Andy Serkis,FALSE
chris,B10,19,raveners,move,Bob Bergen,FALSE
chris,B11,21,gargoyles,move,John Ratzenberger,FALSE
chris,B7,4,broodlord,move,Danger Mouse,FALSE
chris,B7,15,ripper_swarms,move,Anthony Walsh,FALSE
big_grizz,C2,1,ravenwing_talonmaster,move,Scratchin’ Conqueror,FALSE
big_grizz,C5,8,tactical_squad,move,Kylie Lowe,FALSE
big_grizz,C5,23,rhino,move,Gwyneth Paltrow,FALSE
big_grizz,C5,4,phobos_librarian,sneak,Adam Abeshouse,FALSE
big_grizz,D1,10,ravenwing_bike_squad,move,Lin-Manuel Miranda,FALSE
big_grizz,D1,11,ravenwing_attack_bike,move,Gregory Peck,FALSE
big_grizz,D1,12,ravenwing_attack_bike,move,Benedict Cumberbatch,FALSE
big_grizz,D1,16,ravenwing_apothecary,move,Elizabeth Taylor,FALSE
big_grizz,D4,2,deathwing_captain,control,Martha Nussbaum,FALSE
big_grizz,D4,7,tactical_squad,control,Chloe Stevenson,FALSE
big_grizz,D4,17,deathwing_terminators,control,John Stuart Mill,FALSE
big_grizz,D4,18,deathwing_knights,control,Aldous Huxley,FALSE
chris,E1,20,gargoyles,move,Don Cheadle,FALSE
eric,E4,21,canoptek_scarab_swarms,move,Akshay Kumar,FALSE
eric,E5,12,canoptek_scarab_swarms,move,Amazing Menace,FALSE
eric,E6,20,canoptek_scarab_swarms,move,Hugo Weaving,FALSE
eric,E7,1,trazyn_the_infinite,move,Grant Peterson,FALSE
eric,E7,2,illuminor_szeras,move,Bentley Chan,FALSE
eric,E7,3,technomancer,move,Democritus,FALSE
eric,E7,4,lychgaurd,move,Grayson Rivera,FALSE
eric,E7,5,skorpekh_destroyers,move,Aurora Mack,FALSE
eric,E7,6,canoptek_plasmacyte,move,The Professional,FALSE
eric,E7,8,canoptek_spyders,move,Wacko Specialist,FALSE
eric,E7,9,canoptek_spyders,move,Phantom God,FALSE
eric,E7,10,cryptothralls,move,Nathan Scott,FALSE
eric,E7,11,cryptothralls,move,Catherine Cook,FALSE
eric,E7,13,canoptek_wraiths,move,Jack Lemmon,FALSE
eric,F4,27,canoptek_scarab_swarms,move,Masta Genius,FALSE
big_grizz,F5,9,infiltrators,move,Madison Robertson,FALSE
big_grizz,F5,14,redemptor_dreadnought,move,Gael Fox,FALSE
big_grizz,F5,15,invictor_tactical_warsuit,move,James Ginsburg,FALSE
big_grizz,F5,19,vindicare_assassin,move,Judith Sherman,FALSE
big_grizz,F5,20,eliminators,move,Babyface & L.A. Reid,FALSE
big_grizz,F5,21,eradicators,move,Jocelyn Stephens,FALSE
eric,F7,14,deathmarks,move,Thomas Cormen,FALSE
eric,F8,28,canoptek_scarab_swarms,move,U Criminal,FALSE
eric,G6,19,immortals,move,Jesus Reynolds,FALSE
eric,G7,7,immortals,control,Giovanni Alvarado,FALSE
eric,G8,25,immortals,move,Bradley Sherman,FALSE
big_grizz,H2,3,techmarine,soar,Mateo Alvarez,FALSE
big_grizz,H2,5,tactical_squad,soar,Kayla Simpson,FALSE
big_grizz,H2,6,tactical_squad,soar,Kaylee Harris,FALSE
big_grizz,H2,13,dreadnought,soar,Aaron Baldwin,FALSE
big_grizz,H2,22,storm_raven,soar,Sam Smith,FALSE
eric,H3,22,night_scythe,soar,Lil Nas X Featuring Billy Ray Cyrus,FALSE
eric,H3,23,overlord,soar,Abraham Silva,FALSE
eric,H3,24,royal_warden,soar,Emily Byrd,FALSE
eric,H3,26,necron_warriors,soar,Layla Campos,FALSE
eric,I4,15,night_scythe,soar,Morris West Miranda,FALSE
eric,I4,16,overlord,soar,Genesis Patel,FALSE
eric,I4,17,royal_warden,soar,Eliza Oconnor,FALSE
eric,I4,18,necron_warriors,soar,Valerie Burns,FALSE
