player,loc,unit_id,unit_type,action,unit_name,prev_loc,passing_through
chris,A4,6,tyranid_warriors,move,Izabella Wade,A1,FALSE
chris,A5,13,ripper_swarms,move,Nick Bostrom,A4,FALSE
chris,B1,1,flying_hive_tryant,move,"The Chef, Man",B2,FALSE
chris,B1,12,hormagaunts,move,Maya Guerra,B2,FALSE
chris,B1,23,biovores,move,Chase Smith,B2,FALSE
chris,B10,9,genestealers,control,Jaxson Hunter,B10,FALSE
chris,B11,15,ripper_swarms,control,Peter Dickinson,B11,FALSE
chris,B2,4,broodlord,move,Narada Michael Walden,B6,FALSE
chris,B2,7,tyranid_warriors,move,Piper Molina,B6,FALSE
chris,B2,8,tyranid_warriors,move,Nora Harvey,B5,FALSE
chris,B2,22,exocrine,move,Brandon Williamson,B6,FALSE
chris,B3,21,gargoyles,move,Unlucky Wizard,B2,FALSE
chris,B5,5,neurothrope,move,Violent Commander,B2,FALSE
chris,B5,16,hive_guard,move,Delilah Daniels,B2,FALSE
chris,B5,25,tyrannocyte,move,Richard Bach,B2,FALSE
big_grizz,B6,1,ravenwing_talonmaster,move,Mighty Contender,C1,FALSE
big_grizz,B6,10,ravenwing_bike_squad,move,Frank Welker,C1,FALSE
big_grizz,B6,11,ravenwing_attack_bike,move,Jon Favreau,C1,FALSE
big_grizz,B6,12,ravenwing_attack_bike,move,Robert Downey,C1,FALSE
big_grizz,B6,16,ravenwing_apothecary,move,Don Cheadle,C1,FALSE
chris,B8,11,termagants,control,Kinsley Ellis,B8,FALSE
big_grizz,C1,1,ravenwing_talonmaster,move,Mighty Contender,B1,TRUE
big_grizz,C1,10,ravenwing_bike_squad,move,Frank Welker,B1,TRUE
big_grizz,C1,11,ravenwing_attack_bike,move,Jon Favreau,B1,TRUE
big_grizz,C1,12,ravenwing_attack_bike,move,Robert Downey,B1,TRUE
big_grizz,C1,16,ravenwing_apothecary,move,Don Cheadle,B1,TRUE
big_grizz,C2,9,infiltrators,move,Nolan Barrett,C4,FALSE
big_grizz,D1,7,tactical_squad,control,William Lee,D1,FALSE
chris,E1,14,ripper_swarms,move,Natalia Graham,A8,FALSE
chris,E2,2,flying_hive_tryant,move,Andy Serkis,F1,FALSE
chris,E2,17,maleceptor,move,Colton Hart,F1,FALSE
chris,E2,18,venomthropes,move,Tyler Huang,F1,FALSE
chris,E2,19,raveners,move,Drew Conway,E2,FALSE
chris,E2,20,gargoyles,reinforce,Frank Sinatra,E2,FALSE
chris,E4,3,broodlord,move,Rob Cavallo,E1,FALSE
chris,E4,10,genestealers,move,Eli Washington,E1,FALSE
eric,E5,20,canoptek_scarab_swarms,move,Ghostface Warrior,E4,FALSE
eric,E7,7,immortals,move,Max Brooks,E5,FALSE
big_grizz,F1,8,tactical_squad,move,Steven Francis,F2,FALSE
big_grizz,F1,21,eradicators,move,Nova Morgan,F2,FALSE
big_grizz,F1,23,rhino,move,Bob Bergen,F2,FALSE
big_grizz,F1,4,phobos_librarian,sneak,"Marina A. Ledin, Victor Ledin",F2,FALSE
big_grizz,F1,15,invictor_tactical_warsuit,sneak,Larry Butler,F2,FALSE
big_grizz,F1,19,vindicare_assassin,sneak,Adam Abeshouse,F2,FALSE
big_grizz,F1,20,eliminators,sneak,T Bone Burnett,F2,FALSE
big_grizz,F2,8,tactical_squad,move,Steven Francis,C3,TRUE
big_grizz,F2,23,rhino,move,Bob Bergen,C3,TRUE
eric,F3,1,trazyn_the_infinite,move,Valerie Pacheco,E5,FALSE
eric,F3,2,illuminor_szeras,move,Silas Fowler,E5,FALSE
eric,F3,3,technomancer,move,Mario Bunge,E5,FALSE
eric,F3,4,lychgaurd,move,Jayce Scott,E5,FALSE
eric,F3,5,skorpekh_destroyers,move,Paisley Dunn,E5,FALSE
eric,F3,6,canoptek_plasmacyte,move,Crazy Wanderer,E5,FALSE
eric,F3,8,canoptek_spyders,move,Thunderous Killah,E5,FALSE
eric,F3,9,canoptek_spyders,move,X-pert Desperado,E5,FALSE
eric,F3,10,cryptothralls,move,Parker Ruiz,E5,FALSE
eric,F3,11,cryptothralls,move,Eden Wolf,E5,FALSE
eric,F3,12,canoptek_scarab_swarms,move,The Magician,E5,FALSE
eric,F3,13,canoptek_wraiths,move,Paul Bettany,E5,FALSE
eric,F3,27,canoptek_scarab_swarms,move,Tha Swami,F7,FALSE
big_grizz,F7,14,redemptor_dreadnought,move,Lila Wang,C5,FALSE
eric,F8,28,canoptek_scarab_swarms,move,Jack Lemmon,H1,FALSE
eric,G5,19,immortals,move,Caden Ward,G9,FALSE
eric,G7,21,canoptek_scarab_swarms,regenerate,Gentlemen Mastermind,G8,FALSE
big_grizz,H1,5,tactical_squad,move,Nicholas Mullins,H3,FALSE
big_grizz,H2,2,deathwing_captain,reinforce,Madan Gupta,H2,FALSE
eric,H5,15,night_scythe,descend,Richard Burton Sullivan,H6,FALSE
eric,H5,14,deathmarks,move,Adam Stern,E5,FALSE
eric,H5,16,overlord,move,Jesse Kim,H6,FALSE
eric,H5,17,royal_warden,move,Addison Watson,H6,FALSE
eric,H5,18,necron_warriors,move,Carlos Guzman,H6,FALSE
eric,H5,22,night_scythe,move,Hussain Zaidi Andrews,H4,FALSE
eric,H5,23,overlord,move,Landon Adkins,H4,FALSE
eric,H5,24,royal_warden,move,Cameron Mills,H4,FALSE
eric,H5,26,necron_warriors,move,Sydney Gibson,H4,FALSE
big_grizz,H6,6,tactical_squad,control,Isabelle Stevenson,H5,FALSE
big_grizz,H6,3,techmarine,move,Joshua Shelton,H5,FALSE
big_grizz,H6,13,dreadnought,move,Nevaeh Fletcher,H5,FALSE
big_grizz,H6,17,deathwing_terminators,move,John Pratt,H5,FALSE
big_grizz,H6,18,deathwing_knights,move,Morris West,H5,FALSE
big_grizz,H6,22,storm_raven,move,Spencer Tracy,H5,FALSE
eric,I1,25,immortals,move,Ayden Powell,G10,FALSE
chris,NA,24,biovores,NA,Luna Wells,E4,FALSE
